S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-01-17,454,27907,122494095,4475,4290,4465
2,2021-01-13,401,28468,121085889,4320,4171,4320
3,2021-01-12,221,12601,52487661,4195,4146,4170
4,2021-01-11,433,26572,111471098,4300,4129,4175
5,2021-01-10,468,30230,130494510,4386,4235,4250
6,2021-01-07,729,48512,201765726,4246,3980,4192
7,2021-01-06,521,40378,155185333,3927,3744,3905
8,2021-01-05,508,28128,106165586,3860,3725,3744
9,2021-01-04,1093,58230,230573284,4228,3822,3850
10,2021-01-03,45,11710,45332600,3872,3695,3872
11,2020-12-31,1635,87349,468818917,5607,5221,5280
12,2020-12-30,1080,57929,286713942,5098,4675,5098
13,2020-12-29,576,43542,200813104,4700,4425,4635
14,2020-12-28,355,18649,82324704,4500,4391,4420
15,2020-12-27,420,24045,107190188,4569,4400,4500
16,2020-12-24,350,17661,80233896,4650,4486,4549
17,2020-12-23,380,32249,149372032,4800,4588,4635
18,2020-12-22,617,43201,204964728,4870,4655,4670
19,2020-12-21,1215,59059,270043098,4780,4244,4682
20,2020-12-20,1096,79832,380163335,4840,4312,4560
21,2020-12-17,467,38437,167518717,4462,4250,4400
22,2020-12-16,410,30194,130917771,4427,4201,4375
23,2020-12-15,668,35810,154079683,4450,4165,4280
24,2020-12-14,641,37000,165292964,4635,4350,4398
25,2020-12-13,997,70994,306582077,4445,4079,4415
26,2020-12-10,636,46150,180074521,4079,3661,4045
27,2020-12-09,282,18340,68235193,3899,3626,3709
28,2020-12-08,321,19375,74614257,4000,3775,3849
29,2020-12-07,603,36812,136411779,3849,3500,3820
30,2020-12-06,582,35736,135291306,3976,3600,3602
31,2020-12-03,497,31212,127728072,4299,3990,4000
32,2020-12-02,645,56585,224671325,4070,3700,4070
33,2020-12-01,417,36458,135877563,3810,3651,3700
34,2020-11-30,514,39022,144813856,3845,3597,3771
35,2020-11-29,707,66087,238940934,3700,3480,3600
36,2020-11-26,849,60827,221264135,3740,3548,3575
37,2020-11-25,614,31162,115875458,3768,3526,3675
38,2020-11-24,840,62026,209478275,3426,3200,3426
39,2020-11-23,861,97604,289707279,3130,2780,3115
40,2020-11-22,1006,92844,265599487,3074,2800,2846
41,2020-11-19,1113,92818,270753539,2928,2795,2928
42,2020-11-18,277,33535,89151975,2662,2541,2662
43,2020-11-12,674,86814,214913977,2533,2420,2420
44,2020-11-11,650,78642,188640696,2498,2300,2479
45,2020-11-10,562,91668,208348811,2320,2170,2278
46,2020-11-09,717,59929,133678276,2299,2170,2190
47,2020-11-08,783,75723,159681663,2161,2000,2161
48,2020-11-05,418,51908,100295664,1975,1852,1965
