S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-01-01,30,7155,2707400,383,377,380
2,2019-01-02,43,19408,7370888,382,378,382
3,2019-01-03,44,8316,3179485,385,381,383
4,2019-01-06,48,9575,3631962,383,377,377
5,2019-01-07,45,17398,6606274,383,377,379
6,2019-01-08,51,26447,10076233,384,379,382
7,2019-01-09,108,43470,16800033,392,382,388
8,2019-01-10,88,28615,11054692,390,385,390
9,2019-01-13,88,74495,28756076,392,383,384
10,2019-01-14,40,8106,3133749,390,384,386
11,2019-01-15,55,15949,6232127,392,386,390
12,2019-01-16,252,77989,30981507,401,390,398
13,2019-01-17,139,27748,11005936,401,395,396
14,2019-01-20,44,6792,2668848,397,392,392
15,2019-01-21,80,17919,7001614,399,389,389
16,2019-01-22,46,7735,3019367,392,389,390
17,2019-01-23,49,8939,3509480,394,390,392
18,2019-01-24,55,20113,7911959,396,391,392
19,2019-01-27,91,27179,10617054,392,389,391
20,2019-01-28,47,12704,4978633,394,391,393
21,2019-01-29,80,24692,9640886,393,389,390
22,2019-01-30,38,23118,9061091,392,390,392
23,2019-01-31,68,11447,4492469,394,390,391
24,2019-02-03,85,22031,8610127,395,390,390
25,2019-02-04,146,31537,12285309,392,388,389
26,2019-02-05,95,14198,5534327,394,389,389
27,2019-02-06,56,12115,4701776,390,384,387
28,2019-02-07,51,9862,3825718,390,385,390
29,2019-02-10,83,20647,7957961,391,382,385
30,2019-02-11,74,10406,4015930,387,381,386
31,2019-02-12,51,11167,4307361,393,384,386
32,2019-02-13,66,15606,6032824,392,384,384
33,2019-02-14,71,17211,6582521,389,380,384
34,2019-02-17,76,13443,5174030,388,383,387
35,2019-02-18,54,13348,5134879,387,383,385
36,2019-02-19,65,10351,3997266,389,385,389
37,2019-02-20,42,6553,2528913,395,385,387
38,2019-02-21,45,13521,5195354,388,382,384
39,2019-02-24,210,36648,13731299,385,368,370
40,2019-02-25,101,16761,6275016,377,370,374
41,2019-02-26,50,9932,3715349,380,373,376
42,2019-02-27,54,7888,2983226,382,375,378
43,2019-03-03,68,13490,5103024,380,377,378
44,2019-03-05,66,31858,12082441,382,377,381
45,2019-03-06,90,22986,8829736,386,378,385
46,2019-03-07,109,26697,10354654,392,385,391
47,2019-03-10,54,10089,3943513,396,385,394
48,2019-03-11,217,55606,22121492,400,393,400
49,2019-03-12,210,50377,20177965,404,397,401
50,2019-03-13,140,33450,13398954,405,396,399
51,2019-03-14,86,20608,8202183,400,395,399
52,2019-03-17,145,38412,15449692,405,400,401
